Time,Temperature (ø F),,,Dew Point (ø F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipitation (in)
Date,Temp Max (øF),Temp Avg (øF),Temp Min (øF),Dew Pt Max,Dew Point Avg,Dew Point Min,Humidity (%) max,Humidity avg,humidity min,wind max (mph),wind avg (mph),wind min (mph),press max (hg),press ave (hg),press min (hg),precip (in)
1-Sep,71,61,52,60,55.7,52,100,84.5,53,16,6,0,29.9,29.8,29.8,0
2-Sep,69,62.1,53,64,59,53,100,90.1,70,14,7.4,0,29.8,29.6,29.4,0
3-Sep,74,67.2,63,65,62.9,56,100,87.8,53,7,4.7,0,29.5,29.4,29.3,0.15
4-Sep,79,65.6,58,62,55.4,45,100,75.4,30,12,5,0,29.6,29.4,29.3,0
5-Sep,72,63.4,56,52,47.6,41,87,58.6,33,8,5,0,29.8,29.7,29.6,0
6-Sep,74,61.5,50,54,50.3,45,100,70.7,35,7,1.5,0,29.8,29.8,29.7,0
7-Sep,75,63.3,54,63,57.2,47,100,83.6,37,17,7.7,0,29.8,29.8,29.7,0
8-Sep,81,67.8,62,65,62.8,61,100,85.8,56,9,5.3,0,29.9,29.8,29.7,0
9-Sep,78,66.4,63,67,63.9,61,100,92.5,64,15,5,0,30,29.9,29.8,0
10-Sep,82,70,63,71,65.7,62,100,87.6,56,10,3.9,0,30,29.8,29.7,0
11-Sep,66,59.5,52,57,45,41,78,60.1,40,18,11,3,29.9,29.9,29.7,0
12-Sep,69,55.8,44,47,43.5,40,96,67,38,8,4.6,0,30,30,29.9,0
13-Sep,69,57.1,45,61,52.5,44,100,86,57,14,5.8,0,29.9,29.8,29.5,0
14-Sep,70,60.9,48,60,47.5,37,96,64.4,33,21,9.1,0,29.8,29.7,29.5,0.01
15-Sep,61,51.8,40,46,39,35,89,64,41,8,4.6,3,30,29.9,29.9,0
16-Sep,71,59.1,47,55,48.9,43,93,71.4,38,13,7.8,0,29.9,29.7,29.6,0
17-Sep,72,61.1,53,55,51.2,44,100,71.8,51,16,6.1,0,29.7,29.6,29.6,0
18-Sep,64,54.2,47,46,33.9,27,75,48.1,26,18,10.4,6,29.8,29.7,29.6,0
19-Sep,60,49,39,32,28.4,22,73,47.9,23,14,8.8,6,30,29.9,29.8,0
20-Sep,60,47.7,36,33,27.6,21,79,49.9,23,14,6,0,30.2,30.1,30.1,0
21-Sep,62,48.5,35,35,29.4,20,89,54.5,21,10,5.3,0,30.3,30.2,30,0
22-Sep,63,52.3,37,43,37.5,34,93,60.7,35,21,12,3,30,29.6,29.3,0
23-Sep,75,61.8,0,53,44.5,0,72,51,0,20,10.9,5,29.4,29.3,29.2,0
24-Sep,78,66.9,60,54,51.7,49,78,59.6,37,14,6,0,29.6,29.5,29.4,0
25-Sep,73,61.1,53,53,44.4,41,72,55.4,39,9,4.1,0,29.8,29.7,29.6,0
26-Sep,73,57,49,59,53.5,45,100,89.2,53,12,5.4,0,29.8,29.7,29.7,0
27-Sep,75,64.1,58,65,61.9,58,100,92.9,69,14,6.5,3,29.7,29.6,29.6,0
28-Sep,71,66.6,65,68,66,64,100,98.2,84,14,7.3,3,29.6,29.6,29.6,0.01
29-Sep,74,65.5,63,64,62.9,62,100,91.7,68,13,7.9,5,29.6,29.5,29.4,0.01
30-Sep,72,67,55,70,63.2,46,100,89.1,49,26,13.3,0,29.4,29.2,29,0.6
1-Oct,70,58.6,49,57,51.7,47,100,80.2,49,14,5.7,0,29.6,29.5,29.4,0.35
2-Oct,54,51.3,48,54,50.8,46,100,98.2,93,9,3.5,0,29.6,29.6,29.5,0
3-Oct,58,49.5,42,50,46.1,42,100,89.1,62,12,2.8,0,29.9,29.8,29.6,0.11
4-Oct,58,50.5,43,49,46,41,100,85.5,67,7,4.2,0,29.9,29.9,29.8,0.07
5-Oct,63,49.6,46,51,46.5,41,100,90.8,45,8,5,0,29.8,29.8,29.8,0
6-Oct,63,56.9,51,54,52.1,50,100,84.7,67,13,8.1,3,29.8,29.7,29.5,0
7-Oct,67,56.9,51,57,53.4,46,100,89.1,54,9,5.3,0,29.5,29.2,28.9,0.01
8-Oct,54,49.5,41,45,33,24,74,54.1,40,25,14.5,3,29.6,29.3,29,0.25
9-Oct,56,46,36,32,27.5,25,67,49.8,33,15,8.5,0,29.7,29.7,29.6,0
10-Oct,73,61.2,50,62,51.2,32,100,71.8,43,13,8.6,6,29.6,29.4,29.2,0
11-Oct,58,47.8,38,53,33.3,27,84,58.6,38,20,9.7,0,30,29.8,29.4,0.33
12-Oct,50,40,30,37,30.1,25,96,70.1,38,7,4.4,0,30.1,30,29.9,0
13-Oct,49,44.9,32,49,44.6,32,100,98.9,82,13,8.5,3,29.9,29.6,29.4,0
14-Oct,66,53.7,48,49,45.1,38,100,77,36,16,8.9,0,29.6,29.4,29.3,2.41
15-Oct,67,56.5,42,57,47.9,38,97,74.7,45,17,8.3,0,29.7,29.6,29.6,0
16-Oct,63,56.6,51,61,55.6,51,100,96.5,90,15,7.9,0,29.8,29.7,29.6,0
17-Oct,51,44.4,36,51,42.6,35,100,93.8,61,23,14.1,0,30,29.7,29.6,1.68
18-Oct,58,41.1,30,41,34.8,29,100,81.9,43,13,4.1,0,30.2,30.1,30.1,0.36
19-Oct,60,46.4,34,47,42,34,100,86.2,57,9,2.9,0,30.1,30,29.9,0
20-Oct,58,51.8,47,57,51.1,47,100,97.5,81,10,4.4,0,30,29.9,29.8,0.01
21-Oct,54,49.7,45,54,49.1,45,100,97.7,89,12,5.1,0,30,29.9,29.8,0.04
22-Oct,66,56,50,55,49.1,43,100,80.5,45,9,4,0,29.9,29.9,29.8,0
23-Oct,59,54.1,52,54,49.3,43,100,85.2,55,10,6.1,0,29.9,29.8,29.7,0
24-Oct,60,53.4,39,56,50,33,100,89.1,58,16,7.7,0,29.7,29.6,29.4,0.01
25-Oct,48,39.5,31,32,25.8,22,89,60.3,36,15,7.1,3,30,29.9,29.7,0
26-Oct,41,35,33,36,28.6,25,89,77.5,70,6,4.2,0,30.1,30,30,0
